,origin_puma,dest_puma,od_counts
328,17_3106,17_3501,1
329,17_3106,17_3502,3
330,17_3106,17_3503,348
331,17_3106,17_3504,1352
332,17_3106,17_3520,1803
333,17_3106,17_3521,336
334,17_3106,17_3522,246
335,17_3106,17_3523,121
336,17_3106,17_3524,36
337,17_3106,17_3525,23
338,17_3106,17_3526,32
339,17_3106,17_3527,70
340,17_3106,17_3528,1
341,17_3106,17_3530,41
342,17_3106,17_3531,1
343,17_3106,17_3601,86
344,17_3106,17_3602,488
345,17_3106,17_3700,5482
346,17_3107,17_3005,12432
347,17_3107,17_3007,2900
348,17_3107,17_3008,548
349,17_3107,17_3009,2474
350,17_3107,17_3102,5905
351,17_3107,17_3105,8235
352,17_3107,17_3106,8966
353,17_3107,17_3107,5358
354,17_3107,17_3108,2072
355,17_3107,17_3202,6212
356,17_3107,17_3203,5574
357,17_3107,17_3204,7213
358,17_3107,17_3205,8915
359,17_3107,17_3207,5283
360,17_3107,17_3208,4806
361,17_3107,17_3209,11042
362,17_3107,17_3308,106
363,17_3107,17_3310,273
364,17_3107,17_3401,503
365,17_3107,17_3407,5977
366,17_3107,17_3408,675
367,17_3107,17_3409,5360
368,17_3107,17_3410,5338
369,17_3107,17_3411,5521
370,17_3107,17_3412,4857
371,17_3107,17_3413,8480
372,17_3107,17_3414,6618
373,17_3107,17_3415,480
374,17_3107,17_3416,875
375,17_3107,17_3417,949
376,17_3107,17_3418,1405
377,17_3107,17_3419,2285
378,17_3107,17_3420,3941
379,17_3107,17_3421,1878
380,17_3107,17_3422,4645
381,17_3107,17_3501,128
382,17_3107,17_3502,194
383,17_3107,17_3503,520
384,17_3107,17_3504,1186
385,17_3107,17_3520,1466
386,17_3107,17_3521,1555
387,17_3107,17_3522,636
388,17_3107,17_3523,540
389,17_3107,17_3524,666
390,17_3107,17_3525,386
391,17_3107,17_3526,1271
392,17_3107,17_3527,2606
393,17_3107,17_3528,8494
394,17_3107,17_3529,11453
395,17_3107,17_3530,5946
396,17_3107,17_3531,15502
397,17_3107,17_3532,15481
398,17_3107,17_3602,24
399,17_3107,17_3700,7257
400,17_3108,17_3005,3697
401,17_3108,17_3007,582
402,17_3108,17_3008,51
403,17_3108,17_3009,639
404,17_3108,17_3102,4645
405,17_3108,17_3105,4438
406,17_3108,17_3106,3825
407,17_3108,17_3107,5199
408,17_3108,17_3108,5492
409,17_3108,17_3202,1173
410,17_3108,17_3203,1324
411,17_3108,17_3204,3049
412,17_3108,17_3205,1954
413,17_3108,17_3207,1202
414,17_3108,17_3208,734
415,17_3108,17_3209,3191
416,17_3108,17_3401,9
417,17_3108,17_3407,3147
418,17_3108,17_3408,1192
419,17_3108,17_3409,3835
420,17_3108,17_3410,5246
421,17_3108,17_3411,4511
422,17_3108,17_3412,8904
423,17_3108,17_3413,17427
424,17_3108,17_3414,17119
425,17_3108,17_3416,6
426,17_3108,17_3417,96
427,17_3108,17_3418,119
428,17_3108,17_3419,270
429,17_3108,17_3420,647
430,17_3108,17_3421,268
431,17_3108,17_3422,1846
432,17_3108,17_3501,53
433,17_3108,17_3502,171
434,17_3108,17_3503,334
435,17_3108,17_3504,399
436,17_3108,17_3520,486
437,17_3108,17_3521,1016
438,17_3108,17_3522,312
439,17_3108,17_3523,893
440,17_3108,17_3524,613
441,17_3108,17_3525,220
