,origin_puma,dest_puma,od_counts,color
421,06_109,06_8514,25,green
422,06_109,06_8701,146,green
423,06_110,06_101,1394,green
424,06_110,06_102,8003,lime
425,06_110,06_103,6725,lime
426,06_110,06_104,7994,lime
427,06_110,06_105,13752,yellow
428,06_110,06_106,21601,yellow
429,06_110,06_107,36092,orange
430,06_110,06_108,29297,orange
431,06_110,06_109,12482,yellow
432,06_110,06_110,4528,green
433,06_110,06_1301,380,green
434,06_110,06_1302,439,green
435,06_110,06_1303,819,green
436,06_110,06_1304,2466,green
437,06_110,06_1305,2288,green
438,06_110,06_1306,1745,green
439,06_110,06_1307,256,green
440,06_110,06_1308,189,green
441,06_110,06_1309,181,green
442,06_110,06_4101,28,green
443,06_110,06_4102,98,green
444,06_110,06_7501,24,green
445,06_110,06_7502,153,green
446,06_110,06_7503,142,green
447,06_110,06_7504,27,green
448,06_110,06_7505,147,green
449,06_110,06_7506,861,green
450,06_110,06_7507,1287,green
451,06_110,06_8101,4713,green
452,06_110,06_8102,7183,lime
453,06_110,06_8103,19571,yellow
454,06_110,06_8104,26528,orange
455,06_110,06_8105,30806,orange
456,06_110,06_8106,21242,yellow
457,06_110,06_8501,6340,lime
458,06_110,06_8502,2781,green
459,06_110,06_8503,535,green
460,06_110,06_8504,2012,green
461,06_110,06_8505,44,green
462,06_110,06_8506,119,green
463,06_110,06_8507,271,green
464,06_110,06_8508,52,green
465,06_110,06_8509,263,green
466,06_110,06_8510,50,green
467,06_110,06_8511,145,green
468,06_110,06_8512,103,green
469,06_110,06_8513,59,green
470,06_110,06_8514,115,green
471,06_110,06_8701,84,green
472,06_1301,06_101,1011,green
473,06_1301,06_102,256,green
474,06_1301,06_103,119,green
475,06_1301,06_104,16,green
476,06_1301,06_105,39,green
477,06_1301,06_106,147,green
478,06_1301,06_107,96,green
479,06_1301,06_108,88,green
480,06_1301,06_109,43,green
481,06_1301,06_110,87,green
482,06_1301,06_1301,9443,lime
483,06_1301,06_1302,3654,green
484,06_1301,06_1303,1150,green
485,06_1301,06_1304,1038,green
486,06_1301,06_1305,142,green
487,06_1301,06_1306,1065,green
488,06_1301,06_1307,59,green
489,06_1301,06_1308,24,green
490,06_1301,06_1309,11,green
491,06_1301,06_4101,617,green
492,06_1301,06_4102,1385,green
493,06_1301,06_7501,98,green
494,06_1301,06_7502,82,green
495,06_1301,06_7503,492,green
496,06_1301,06_7504,499,green
497,06_1301,06_7505,18,green
498,06_1301,06_7506,4,green
499,06_1301,06_7507,5,green
500,06_1301,06_8101,26,green
501,06_1301,06_8102,29,green
502,06_1301,06_8103,9,green
503,06_1301,06_8104,33,green
504,06_1301,06_8105,42,green
505,06_1301,06_8106,22,green
506,06_1301,06_8501,10,green
507,06_1301,06_8502,7,green
508,06_1301,06_8504,5,green
509,06_1302,06_101,839,green
510,06_1302,06_102,283,green
511,06_1302,06_103,78,green
512,06_1302,06_104,15,green
513,06_1302,06_105,48,green
514,06_1302,06_106,155,green
515,06_1302,06_107,173,green
516,06_1302,06_108,154,green
517,06_1302,06_109,70,green
518,06_1302,06_110,118,green
519,06_1302,06_1301,3667,green
520,06_1302,06_1302,2642,green
521,06_1302,06_1303,1110,green
522,06_1302,06_1304,969,green
523,06_1302,06_1305,144,green
524,06_1302,06_1306,1307,green
525,06_1302,06_1307,60,green
526,06_1302,06_1308,19,green
527,06_1302,06_1309,11,green
528,06_1302,06_4101,14,green
529,06_1302,06_4102,171,green
530,06_1302,06_7502,2,green
531,06_1302,06_7505,13,green
532,06_1302,06_7506,13,green
533,06_1302,06_8101,57,green
534,06_1302,06_8102,71,green
535,06_1302,06_8103,50,green
536,06_1302,06_8104,57,green
537,06_1302,06_8105,63,green
538,06_1302,06_8106,84,green
539,06_1302,06_8501,66,green
540,06_1302,06_8502,12,green
541,06_1302,06_8503,3,green
542,06_1302,06_8504,19,green
543,06_1302,06_8506,7,green
544,06_1303,06_101,3315,green
545,06_1303,06_102,1071,green
546,06_1303,06_103,176,green
547,06_1303,06_104,221,green
548,06_1303,06_105,315,green
549,06_1303,06_106,115,green
550,06_1303,06_107,184,green
551,06_1303,06_108,195,green
552,06_1303,06_109,198,green
553,06_1303,06_110,207,green
